1FA6P8JZ2L5552775;GT350®;In Order Processing;N4;85E;Bob Davidson Ford;1845 E Joppa Road Baltimore, MD 21234;2020-09-17;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.19B.50B.ANT.457.97Q.67L.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ4L5552776;GT350®;In Order Processing;FM;SLB;Bob Allen Ford, Inc.;9239 Metcalf Ave Overland Park, KS 66212;2020-10-06;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.51H.MDS.19B.50B.ANT.457.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ6L5552777;GT350®;In Order Processing;YZ;SLB;Gordie Boucher Ford of Kenosha, Inc.;8301 75th St. Kenosha, WI 53142;2020-10-09;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.21S.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ8L5552778;GT350®;In Order Processing;N4;85E;McCrocklin Ford;683 North Eighth Middletown, IN 47356;2020-10-06;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.21S.19B.50B.ANT.457.97Q.67L.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZXL5552779;GT350®;In Order Processing;N4;85E;McDonald Ford Inc;6790 Midland Road Freeland, MI 48623;2020-10-03;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.19B.50B.ANT.457.97Q.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ6L5552780;GT350®;In Order Processing;N4;85E;Art Hill Ford;901 W Lincoln Highway Merrillville, IN 46410;2020-10-09;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.19B.50B.ANT.457.97Q.67L.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ8L5552781;GT350®;In Order Processing;G1;SLB;Harrisonburg Ford, Inc.;3155 S. Main Street Harrisonburg, VA 22801;2020-10-05;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.21S.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZXL5552782;GT350®;In Order Processing;N4;85E;Montrose Ford, Inc.;100 Merchant Drive Montrose, CO 81401;2020-10-07;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.51H.MDS.19B.50B.ANT.457.97Q.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ1L5552783;GT350®;In Order Processing;FM;85L;Dundee Ford;800 Dundee Avenue East Dundee, IL 60118;2020-10-08;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ3L5552784;GT350®;In Order Processing;L6;85L;Dorrance Ford, Inc.;10150 East Michigan Galesburg, MI 49053;2020-09-30;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ5L5552785;GT350®;In Order Processing;N4;85E;Ditschman/Flemington Ford;215 Route 202 Flemington, NJ 08822;2020-10-03;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.51H.MDS.19B.50B.ANT.457.97Q.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ7L5552786;GT350®;In Order Processing;J7;85K;Cumberland Ford Motors Inc;1501 Highway 25 E Middlesboro, KY 40965;2020-10-12;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.51H.MDS.19B.50B.ANT.457.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ9L5552787;GT350®;In Order Processing;N4;85E;Robinson Ford Sales, Inc.;1777 N. Imperial Ave Calexico, CA 92231;2020-10-09;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.51H.MDS.19B.50B.ANT.457.97Q.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ0L5552788;GT350®;In Order Processing;N4;85E;Landmark Ford;12000 S W 66th Ave Tigard, OR 97223;2020-10-12;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.97Q.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ2L5552789;GT350®;In Order Processing;N4;85E;Ditschman/Flemington Ford;215 Route 202 Flemington, NJ 08822;2020-10-03;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.51H.MDS.19B.50B.ANT.457.97Q.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ9L5552790;GT350®;In Order Processing;N4;85E;Ken Garff West Valley Ford;4091 West 3500 South West Valley City, UT 84120;2020-10-13;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.19B.50B.ANT.457.97Q.67L.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ0L5552791;GT350®;In Order Processing;N4;85E;Hines Park Ford, Inc.;56558 Pontiac Trail New Hudson, MI 48165;2020-10-12;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.19B.50B.ANT.457.97Q.67L.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ2L5552792;GT350®;In Order Processing;N4;85E;Route 23 Auto Mall, LLC;1301 Route 23 Butler, NJ 07405;2020-10-08;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.97Q.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ4L5552793;GT350®;In Order Processing;N4;85E;Colonial Ford, Inc.;11 Pilgrim Hill Rd. Plymouth, MA 02360;2020-10-12;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.21S.51H.MDS.19B.50B.ANT.457.97Q.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ6L5552794;GT350®;In Order Processing;J7;85K;Miracle Ford, Inc.;1394 Nashville Pike Gallatin, TN 37066;2020-10-09;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ8L5552795;GT350®;In Order Processing;FM;85L;City World Ford;3305 Boston Road Bronx, NY 10469;2020-10-13;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.21S.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZXL5552796;GT350®;In Order Processing;G1;SLB;Mullinax Ford;2225 Carriage Drive S.W. Olympia, WA 98502;2020-10-09;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.51H.MDS.19B.50B.ANT.457.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ1L5552797;GT350®;In Order Processing;N4;85E;Brighton Ford, Inc.;190 W Bromley Lane Brighton, CO 80601;2020-10-08;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.51H.MDS.19B.50B.ANT.457.97Q.67L.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ3L5552798;GT350®;In Order Processing;JS;85K;Bob Allen Ford, Inc.;9239 Metcalf Ave Overland Park, KS 66212;2020-10-07;;SLB.RWD.99Z.64S.91N.SSR.912.17F.L59.SED.574.WCC.59B.19B.50B.ANT.457.67L.67T.583.CSR.T3A.44E.SHB.COU.891.2020 P8J FORD.
1FA6P8JZ5L5552799;GT350®;In Order Processing;N4;85E;Hilbish Motor Co;2600 S Cannon Blvd Kannapolis, NC 28083;2020-10-12;;SLB.RWD.99Z.90L.64S.91N.SSR.912.17F.L59.SED.574.WCC.21S.51H.MDS.19B.50B.ANT.457.97Q.67T.583.LMS.T3A.44E.SHB.COU.891.2020 P8J FORD.
